plane cassette u v irot typecode econdidx captureblock captureblockidx slinkidx fedid econtidx trig_fedid zside isSiPM
25 1 7 2 0 ML-F3W-CIH0222 8 7 1 2 2102 0 2100 -1 0
25 1 6 2 0 ML-F3W-CIH0220 9 7 1 2 2102 1 2100 -1 0
25 1 8 2 0 ML-F3W-CIH0209 10 7 1 2 2102 2 2100 -1 0
25 1 9 2 0 ML-F3W-CIH0226 11 7 1 2 2102 3 2100 -1 0
25 1 10 2 0 ML-F3W-CIH0230 12 7 1 2 2102 4 2100 -1 0
25 1 5 2 3 MH-F2W-CNT0067 0 6 0 2 2102 5 2100 -1 0
25 1 4 2 3 MH-F1W-DNT0145 1 6 0 2 2102 6 2100 -1 0
25 1 5 3 3 MH-F2W-CNT0064 2 6 0 2 2102 7 2100 -1 0
25 1 8 5 4 ML-F3W-CIH0229 3 6 0 2 2102 8 2100 -1 0
25 1 9 6 4 ML-F3W-CIH0218 4 6 0 2 2102 9 2100 -1 0
25 1 10 7 4 ML-F3W-CIH0206 5 6 0 2 2102 10 2100 -1 0
25 1 7 4 4 ML-F3W-CIH0210 6 6 0 2 2102 11 2100 -1 0
25 1 6 3 4 ML-F3W-CIH0208 7 6 0 2 2102 12 2100 -1 0
25 1 9 4 0 ML-F3W-CIH0184 13 7 1 2 2102 13 2100 -1 0
25 1 10 5 4 ML-F3W-CIH0217 14 7 1 2 2102 14 2100 -1 0
25 1 10 4 0 ML-F3W-CIH0223 15 7 1 2 2102 15 2100 -1 0
25 1 11 4 2 ML-L3W-CNT0181 16 7 1 2 2102 16 2100 -1 0
25 1 5 1 3 MH-F2W-CNT0068 0 0 0 1 2101 17 2100 -1 0
25 1 4 1 3 MH-F2W-CNT0076 1 0 0 1 2101 18 2100 -1 0
25 1 3 1 3 MH-F1W-DNT0148 2 0 0 1 2101 19 2100 -1 0
25 1 2 1 5 MH-L1W-CNT0149 3 0 0 1 2101 20 2100 -1 0
25 1 5 4 4 MH-F2W-CNT0065 4 1 1 1 2101 21 2100 -1 0
25 1 4 3 4 MH-F2W-CNT0063 5 1 1 1 2101 22 2100 -1 0
25 1 3 2 4 MH-F1W-DNT0144 6 1 1 1 2101 23 2100 -1 0
25 1 8 6 4 ML-F3W-CIH0202 28 5 5 1 2101 24 2100 -1 0
25 1 9 7 4 ML-F3W-CIH0203 29 5 5 1 2101 25 2100 -1 0
25 1 10 8 4 ML-F3W-CIH0271 30 5 5 1 2101 26 2100 -1 0
25 1 7 5 4 ML-F3W-CIH0207 31 5 5 1 2101 27 2100 -1 0
25 1 6 4 4 ML-F3W-CIH0212 32 5 5 1 2101 28 2100 -1 0
25 1 4 0 3 MH-F2W-CNT0066 25 4 4 1 2101 29 2100 -1 0
25 1 3 0 3 MH-F1W-CNT0143 26 4 4 1 2101 30 2100 -1 0
25 1 2 0 3 MH-B1W-DNT0177 27 4 4 1 2101 31 2100 -1 0
25 1 6 0 0 ML-F3W-CIH0254 7 1 1 1 2101 32 2100 -1 0
25 1 5 0 0 ML-F3W-CIH0295 8 1 1 1 2101 33 2100 -1 0
25 1 7 0 0 ML-F3W-CIH0261 9 1 1 1 2101 34 2100 -1 0
25 1 8 0 0 ML-F3W-CIH0303 10 1 1 1 2101 35 2100 -1 0
25 1 9 0 0 ML-B3W-CNT0187 11 1 1 1 2101 36 2100 -1 0
25 1 8 7 4 ML-F3W-CIH0256 12 2 2 1 2101 37 2100 -1 0
25 1 9 8 4 ML-F3W-CIH0258 13 2 2 1 2101 38 2100 -1 0
25 1 7 6 4 ML-F3W-CIH0257 14 2 2 1 2101 39 2100 -1 0
25 1 6 5 4 ML-F3W-CIH0259 15 2 2 1 2101 40 2100 -1 0
25 1 10 6 4 ML-F3W-CIH0204 21 3 3 1 2101 41 2100 -1 0
25 1 11 7 5 ML-R3W-CNT0183 22 3 3 1 2101 42 2100 -1 0
25 1 9 5 4 ML-F3W-CIH0211 23 3 3 1 2101 43 2100 -1 0
25 1 8 4 4 ML-F3W-CIH0221 24 3 3 1 2101 44 2100 -1 0
25 1 8 3 0 ML-F3W-CIH0219 33 5 5 1 2101 45 2100 -1 0
25 1 7 3 0 ML-F3W-CIH0228 34 5 5 1 2101 46 2100 -1 0
25 1 9 3 0 ML-F3W-CIH0205 35 5 5 1 2101 47 2100 -1 0
25 1 10 3 0 ML-F3W-CIH0225 36 5 5 1 2101 48 2100 -1 0
25 1 7 1 0 ML-F3W-CIH0213 16 3 3 1 2101 49 2100 -1 0
25 1 6 1 0 ML-F3W-CIH0201 17 3 3 1 2101 50 2100 -1 0
25 1 8 1 0 ML-F3W-CIH0214 18 3 3 1 2101 51 2100 -1 0
25 1 9 1 0 ML-F3W-CIH0227 19 3 3 1 2101 52 2100 -1 0
25 1 10 1 0 ML-B3W-CNT0189 20 3 3 1 2101 53 2100 -1 0
